StateUT,Year,Season,Scheme,Crop,Applications_Enrolled,Applications_Insured,Area_Insured_ha,Premium_Paid_by_Farmers_Rs,Total_Premium_Rs,Claims_Paid_Rs,Claims_Pending_Rs,Farmers_Benefitted,Number_of_Claims
Andhra Pradesh,2021,Rabi,RWBCIS,Oilseeds,361,254,536.55,348197,532718,549091,30513,137,38
Andhra Pradesh,2021,Zaid,PMFBY,Rice,323,285,163.41,57432,770781,447419,34340,163,68
Andhra Pradesh,2021,Zaid,PMFBY,Wheat,327,226,234.7,100069,120140,306330,9716,97,45
Andhra Pradesh,2021,Zaid,PMFBY,Maize,356,305,633.89,316353,403273,1168111,102824,220,102
Andhra Pradesh,2021,Zaid,PMFBY,Cotton,306,225,403.16,218701,574797,1195889,108666,82,183
Andhra Pradesh,2021,Zaid,PMFBY,Pulses,309,204,178.12,66093,239466,488390,5878,116,44
Andhra Pradesh,2021,Zaid,PMFBY,Oilseeds,324,300,640.24,227120,398007,1390350,193824,177,102
Andhra Pradesh,2021,Zaid,RWBCIS,Rice,318,213,244.39,111261,618871,270301,4656,134,29
Andhra Pradesh,2021,Zaid,RWBCIS,Wheat,334,261,408.51,94404,431008,341529,3247,233,35
Andhra Pradesh,2021,Zaid,RWBCIS,Maize,348,298,602.1,335600,807176,920974,48195,253,53
Andhra Pradesh,2021,Zaid,RWBCIS,Cotton,381,334,793.81,245081,311577,1867677,160940,264,263
Andhra Pradesh,2021,Zaid,RWBCIS,Pulses,347,229,189.73,130676,795873,342968,18460,186,32
Andhra Pradesh,2021,Zaid,RWBCIS,Oilseeds,348,258,367.74,140045,887654,646046,22503,214,60
Andhra Pradesh,2022,Kharif,PMFBY,Rice,332,277,203.26,155270,782978,271812,5678,209,19
Andhra Pradesh,2022,Kharif,PMFBY,Wheat,332,298,239.4,92656,341145,564952,2842,178,34
Andhra Pradesh,2022,Kharif,PMFBY,Maize,354,322,232.25,164403,291891,346800,41475,98,41
Andhra Pradesh,2022,Kharif,PMFBY,Cotton,342,288,543.71,285793,537592,741751,20205,241,54
Andhra Pradesh,2022,Kharif,PMFBY,Pulses,325,311,250.88,138420,644308,508944,1383,252,27
Andhra Pradesh,2022,Kharif,PMFBY,Oilseeds,333,316,604.97,176363,752651,1220096,77622,226,64
Andhra Pradesh,2022,Kharif,RWBCIS,Rice,362,232,572.97,402992,527654,1605522,209496,131,116
Andhra Pradesh,2022,Kharif,RWBCIS,Wheat,325,236,496.95,100771,434270,743150,59905,199,73
Andhra Pradesh,2022,Kharif,RWBCIS,Maize,322,248,235.4,110983,251840,221504,16559,122,12
Andhra Pradesh,2022,Kharif,RWBCIS,Cotton,323,271,142.6,85292,263327,413922,9230,133,66
Andhra Pradesh,2022,Kharif,RWBCIS,Pulses,335,296,272.26,201155,406294,265922,1458,157,20
Andhra Pradesh,2022,Kharif,RWBCIS,Oilseeds,295,227,351.57,163289,564052,667667,15547,74,37
Andhra Pradesh,2022,Rabi,PMFBY,Rice,369,259,463.09,206186,231572,412327,44282,171,76
Andhra Pradesh,2022,Rabi,PMFBY,Wheat,314,268,144.56,37942,837858,136806,13395,98,21
Andhra Pradesh,2022,Rabi,PMFBY,Maize,315,291,628.69,275561,943646,636524,27989,241,123
Andhra Pradesh,2022,Rabi,PMFBY,Cotton,300,183,157.91,86823,508247,431359,52892,80,49
Andhra Pradesh,2022,Rabi,PMFBY,Pulses,323,226,395.12,176084,728131,628366,27755,195,38
Andhra Pradesh,2022,Rabi,PMFBY,Oilseeds,307,241,551.67,375088,800301,306824,12365,140,21
Andhra Pradesh,2022,Rabi,RWBCIS,Rice,316,289,713.48,367738,539417,842455,2324,243,125
Andhra Pradesh,2022,Rabi,RWBCIS,Wheat,334,270,486.77,339690,546111,256766,5272,224,14
Andhra Pradesh,2022,Rabi,RWBCIS,Maize,335,285,242.46,181517,600287,353469,27513,66,47
Andhra Pradesh,2022,Rabi,RWBCIS,Cotton,343,284,281.36,121991,410684,390860,42157,116,29
Andhra Pradesh,2022,Rabi,RWBCIS,Pulses,329,314,617.06,202991,234174,713112,63654,74,57
Andhra Pradesh,2022,Rabi,RWBCIS,Oilseeds,335,299,213.25,52264,780452,370784,38287,151,43
Andhra Pradesh,2022,Zaid,PMFBY,Rice,349,301,314.33,174182,535155,229132,31528,89,12
Andhra Pradesh,2022,Zaid,PMFBY,Wheat,327,263,590.67,377636,1184197,1268144,131686,209,145
Andhra Pradesh,2022,Zaid,PMFBY,Maize,329,320,764.2,170918,876493,2149787,58230,191,115
Andhra Pradesh,2022,Zaid,PMFBY,Cotton,319,309,738.06,357611,1219653,1927350,92253,241,347
Andhra Pradesh,2022,Zaid,PMFBY,Pulses,335,216,141.24,87254,427128,326535,3201,91,25
Andhra Pradesh,2022,Zaid,PMFBY,Oilseeds,347,290,658.87,375238,608197,369627,48242,62,20
Andhra Pradesh,2022,Zaid,RWBCIS,Rice,331,299,746.26,306285,1073473,1122992,80834,191,62
Andhra Pradesh,2022,Zaid,RWBCIS,Wheat,326,286,279.58,74448,429070,340556,15136,104,60
Andhra Pradesh,2022,Zaid,RWBCIS,Maize,326,279,261.29,201187,987532,189051,11842,227,10
Andhra Pradesh,2022,Zaid,RWBCIS,Cotton,328,217,538.67,182611,1125342,1144198,104306,121,135
Andhra Pradesh,2022,Zaid,RWBCIS,Pulses,311,208,428.31,175639,233481,1251846,165955,177,63
Andhra Pradesh,2022,Zaid,RWBCIS,Oilseeds,310,275,520.31,152106,967939,552102,18536,158,40
Andhra Pradesh,2023,Kharif,PMFBY,Rice,334,311,320.7,89061,977809,926544,119820,238,62
Andhra Pradesh,2023,Kharif,PMFBY,Wheat,332,250,311.34,110791,834211,541635,6585,89,36
Andhra Pradesh,2023,Kharif,PMFBY,Maize,298,234,341.91,189912,1014592,468254,47623,139,52
Andhra Pradesh,2023,Kharif,PMFBY,Cotton,354,300,660.35,475701,1184063,1711979,179108,203,120
Andhra Pradesh,2023,Kharif,PMFBY,Pulses,344,321,720.22,156683,982499,592147,29766,231,80
Andhra Pradesh,2023,Kharif,PMFBY,Oilseeds,349,276,141.53,52681,669607,417933,39608,105,29
Andhra Pradesh,2023,Kharif,RWBCIS,Rice,332,212,428.68,224954,1187946,580724,55107,181,89
Andhra Pradesh,2023,Kharif,RWBCIS,Wheat,366,229,252.34,157688,225038,493432,25600,145,87
Andhra Pradesh,2023,Kharif,RWBCIS,Maize,306,186,101.23,39901,528544,245586,25171,95,27
Andhra Pradesh,2023,Kharif,RWBCIS,Cotton,327,294,554.89,184480,266861,1221451,119918,115,63
Andhra Pradesh,2023,Kharif,RWBCIS,Pulses,308,295,395.14,230412,628006,468453,69142,144,25
Andhra Pradesh,2023,Kharif,RWBCIS,Oilseeds,315,192,346.24,145807,1010165,582730,84629,63,32
Andhra Pradesh,2023,Rabi,PMFBY,Rice,346,318,643.01,370202,501446,373792,51631,201,22
Andhra Pradesh,2023,Rabi,PMFBY,Wheat,329,213,398.55,182609,383133,689088,6637,129,76
Andhra Pradesh,2023,Rabi,PMFBY,Maize,347,268,140.23,34142,426635,238370,21454,108,15
Andhra Pradesh,2023,Rabi,PMFBY,Cotton,352,216,315.58,82984,325029,936217,20011,119,66
Andhra Pradesh,2023,Rabi,PMFBY,Pulses,341,205,236.35,120687,208553,325352,1620,52,30
Andhra Pradesh,2023,Rabi,PMFBY,Oilseeds,306,263,552.61,176885,344367,420768,40168,183,77
Andhra Pradesh,2023,Rabi,RWBCIS,Rice,365,294,563.93,407485,1121571,1412261,71909,226,228
Andhra Pradesh,2023,Rabi,RWBCIS,Wheat,357,325,456.51,267582,793984,1063200,13018,79,122
Andhra Pradesh,2023,Rabi,RWBCIS,Maize,309,211,517.32,208034,390151,1279977,126470,116,96
Andhra Pradesh,2023,Rabi,RWBCIS,Cotton,342,334,818.16,482874,682416,1800419,19498,74,203
Andhra Pradesh,2023,Rabi,RWBCIS,Pulses,328,287,569.81,259432,605366,813459,120512,65,45
Andhra Pradesh,2023,Rabi,RWBCIS,Oilseeds,334,292,430.21,311495,1212196,668676,27766,179,36
Andhra Pradesh,2023,Zaid,PMFBY,Rice,313,262,515.15,143696,859520,1428295,38496,96,73
Andhra Pradesh,2023,Zaid,PMFBY,Wheat,311,244,242.65,175302,620607,433626,23366,150,58
Andhra Pradesh,2023,Zaid,PMFBY,Maize,324,226,409.84,161934,935407,339013,49317,117,40
Andhra Pradesh,2023,Zaid,PMFBY,Cotton,297,236,277.07,193209,624096,310813,28773,164,41
Andhra Pradesh,2023,Zaid,PMFBY,Pulses,310,272,497.11,240988,1085158,1249822,109738,220,155
Andhra Pradesh,2023,Zaid,PMFBY,Oilseeds,304,188,293.72,223804,263147,236525,16043,160,24
Andhra Pradesh,2023,Zaid,RWBCIS,Rice,330,216,534.22,416195,421134,1538302,147474,174,130
Andhra Pradesh,2023,Zaid,RWBCIS,Wheat,331,282,219.76,47904,355833,497032,15049,189,25
Andhra Pradesh,2023,Zaid,RWBCIS,Maize,301,231,516.58,158223,850848,1340674,189963,157,108
Andhra Pradesh,2023,Zaid,RWBCIS,Cotton,336,274,153.65,116554,806080,336691,10892,181,31
Andhra Pradesh,2023,Zaid,RWBCIS,Pulses,338,287,717.16,164177,1141351,1088125,142123,215,81
Andhra Pradesh,2023,Zaid,RWBCIS,Oilseeds,343,258,297.75,178816,986661,716301,85721,130,41
Andhra Pradesh,2024,Kharif,PMFBY,Rice,305,183,210.3,88300,484472,470792,27440,94,55
Andhra Pradesh,2024,Kharif,PMFBY,Wheat,323,202,344.79,207194,826684,571915,32581,162,45
Andhra Pradesh,2024,Kharif,PMFBY,Maize,329,240,302.49,132882,713054,554769,50587,177,32
Andhra Pradesh,2024,Kharif,PMFBY,Cotton,357,339,210.36,160013,511635,158517,11553,129,17
Andhra Pradesh,2024,Kharif,PMFBY,Pulses,319,256,287.39,162720,878870,339569,21064,73,44
Andhra Pradesh,2024,Kharif,PMFBY,Oilseeds,340,271,519.8,137293,704605,593303,85696,146,35
Andhra Pradesh,2024,Kharif,RWBCIS,Rice,332,279,670.38,376061,1195249,1817076,62166,97,128
Andhra Pradesh,2024,Kharif,RWBCIS,Wheat,325,306,369.29,126342,906867,438353,54089,152,29
Andhra Pradesh,2024,Kharif,RWBCIS,Maize,301,232,388.19,116771,853644,1031418,33532,62,193
Andhra Pradesh,2024,Kharif,RWBCIS,Cotton,337,272,262.18,113929,708405,456696,67668,80,30
Andhra Pradesh,2024,Kharif,RWBCIS,Pulses,325,283,533.42,423937,552331,405545,44063,171,45
Andhra Pradesh,2024,Kharif,RWBCIS,Oilseeds,298,280,247.45,97501,324157,343335,3575,158,57
Andhra Pradesh,2024,Rabi,PMFBY,Rice,347,279,630.58,372374,905331,826586,41288,187,42
Andhra Pradesh,2024,Rabi,PMFBY,Wheat,338,296,423.4,99959,662255,1225346,32221,202,153
Andhra Pradesh,2024,Rabi,PMFBY,Maize,332,256,515.16,210465,875376,1282040,178302,93,117
Andhra Pradesh,2024,Rabi,PMFBY,Cotton,363,333,513.46,294804,383928,1226233,23491,259,73
Andhra Pradesh,2024,Rabi,PMFBY,Pulses,341,243,249.37,103758,191400,708808,58881,101,65
Andhra Pradesh,2024,Rabi,PMFBY,Oilseeds,327,260,608.08,302932,1295090,1598376,49992,221,237
Andhra Pradesh,2024,Rabi,RWBCIS,Rice,349,325,726.74,496767,1286797,916926,11130,157,121
Andhra Pradesh,2024,Rabi,RWBCIS,Wheat,340,330,588.04,407799,540323,1561267,216101,179,111
Andhra Pradesh,2024,Rabi,RWBCIS,Maize,345,272,352.87,101565,469099,236575,916,80,12
Andhra Pradesh,2024,Rabi,RWBCIS,Cotton,332,253,284.28,143188,582699,217236,20882,89,15
Andhra Pradesh,2024,Rabi,RWBCIS,Pulses,338,210,432.92,206018,264181,1293204,11208,144,65
Andhra Pradesh,2024,Rabi,RWBCIS,Oilseeds,315,203,224.63,58545,750706,147297,11255,182,9
Andhra Pradesh,2024,Zaid,PMFBY,Rice,336,281,436.7,198982,329692,1186300,80037,94,113
Andhra Pradesh,2024,Zaid,PMFBY,Wheat,325,285,581.0,120045,536198,989652,2849,109,60
Andhra Pradesh,2024,Zaid,PMFBY,Maize,307,209,109.57,37771,1013644,274346,39488,113,41
Andhra Pradesh,2024,Zaid,PMFBY,Cotton,332,305,212.33,104667,254715,278511,30804,163,26
Andhra Pradesh,2024,Zaid,PMFBY,Pulses,324,291,664.69,513939,1300842,856465,88404,147,97
Andhra Pradesh,2024,Zaid,PMFBY,Oilseeds,351,330,469.58,273446,932799,1285613,122777,208,214
Andhra Pradesh,2024,Zaid,RWBCIS,Rice,331,291,443.61,269776,311448,315841,33937,73,52
Andhra Pradesh,2024,Zaid,RWBCIS,Wheat,343,244,292.66,194558,855928,281828,7360,66,19
Andhra Pradesh,2024,Zaid,RWBCIS,Maize,345,209,138.85,108402,403846,336442,31524,98,42
Andhra Pradesh,2024,Zaid,RWBCIS,Cotton,305,272,486.28,251981,293932,1420532,170190,110,72
Andhra Pradesh,2024,Zaid,RWBCIS,Pulses,335,296,628.57,373300,501395,845847,117753,106,80
Andhra Pradesh,2024,Zaid,RWBCIS,Oilseeds,326,271,646.65,222716,344217,642561,85486,177,69
Arunachal Pradesh,2020,Kharif,PMFBY,Rice,462,438,439.96,287305,747844,1146094,125238,326,77
Arunachal Pradesh,2020,Kharif,PMFBY,Wheat,414,403,957.03,216197,381011,793686,86430,311,97
Arunachal Pradesh,2020,Kharif,PMFBY,Maize,436,383,606.85,336321,844681,754843,63975,261,42
Arunachal Pradesh,2020,Kharif,PMFBY,Cotton,444,293,416.97,85729,332407,965767,143679,79,88
Arunachal Pradesh,2020,Kharif,PMFBY,Pulses,456,369,725.51,413244,601268,1007343,118432,217,198
Arunachal Pradesh,2020,Kharif,PMFBY,Oilseeds,453,400,361.98,280478,648418,476847,10650,166,26
Arunachal Pradesh,2020,Kharif,RWBCIS,Rice,433,405,682.87,296991,709612,1528977,738,257,148
Arunachal Pradesh,2020,Kharif,RWBCIS,Wheat,455,374,546.77,320077,384930,1066179,89796,222,76
Arunachal Pradesh,2020,Kharif,RWBCIS,Maize,447,314,675.13,336858,413916,436389,21879,235,28
Arunachal Pradesh,2020,Kharif,RWBCIS,Cotton,455,349,277.42,110112,544131,200159,6624,216,12
Arunachal Pradesh,2020,Kharif,RWBCIS,Pulses,444,373,772.6,209376,619280,2008378,115632,224,145
Arunachal Pradesh,2020,Kharif,RWBCIS,Oilseeds,414,301,166.27,35667,867364,196644,15282,123,10
Arunachal Pradesh,2020,Rabi,PMFBY,Rice,420,391,853.89,266124,1068767,1405048,101789,115,226
Arunachal Pradesh,2020,Rabi,PMFBY,Wheat,450,344,673.9,444307,603215,1365027,27714,250,92
Arunachal Pradesh,2020,Rabi,PMFBY,Maize,487,302,321.44,114762,361740,888986,33276,118,54
Arunachal Pradesh,2020,Rabi,PMFBY,Cotton,433,270,398.29,87691,150344,1101707,23011,155,99
Arunachal Pradesh,2020,Rabi,PMFBY,Pulses,426,259,473.34,368276,928444,1345259,10545,128,151
Arunachal Pradesh,2020,Rabi,PMFBY,Oilseeds,420,283,461.48,220753,1192758,932798,48903,79,128
Arunachal Pradesh,2020,Rabi,RWBCIS,Rice,418,385,624.64,321087,435855,1655514,179494,95,106
Arunachal Pradesh,2020,Rabi,RWBCIS,Wheat,438,339,498.12,149169,1094867,1307534,131215,178,117
Arunachal Pradesh,2020,Rabi,RWBCIS,Maize,445,277,422.43,288875,748114,266085,31383,94,30
Arunachal Pradesh,2020,Rabi,RWBCIS,Cotton,413,366,563.19,181870,1059700,1520024,198495,134,129
Arunachal Pradesh,2020,Rabi,RWBCIS,Pulses,366,284,658.44,344510,842322,502840,49538,220,47
Arunachal Pradesh,2020,Rabi,RWBCIS,Oilseeds,416,294,613.2,335148,969730,1529802,90863,247,118
Arunachal Pradesh,2020,Zaid,PMFBY,Rice,412,371,420.54,300395,1206538,501394,73970,111,62
Arunachal Pradesh,2020,Zaid,PMFBY,Wheat,414,351,282.28,131033,746331,200041,26478,268,16
Arunachal Pradesh,2020,Zaid,PMFBY,Maize,444,415,562.32,167200,179807,1068065,84495,292,58
Arunachal Pradesh,2020,Zaid,PMFBY,Cotton,400,268,593.98,410700,951493,1351665,63734,142,78
Arunachal Pradesh,2020,Zaid,PMFBY,Pulses,433,341,735.37,294975,468736,1676669,207734,92,195
Arunachal Pradesh,2020,Zaid,PMFBY,Oilseeds,410,316,631.26,372878,993806,871731,110027,167,44
Arunachal Pradesh,2020,Zaid,RWBCIS,Rice,444,380,437.08,267404,337045,409633,52581,136,23
Arunachal Pradesh,2020,Zaid,RWBCIS,Wheat,422,364,555.21,212749,425393,323673,14757,239,17
Arunachal Pradesh,2020,Zaid,RWBCIS,Maize,463,416,761.27,271143,1178338,1657156,139311,116,142
Arunachal Pradesh,2020,Zaid,RWBCIS,Cotton,433,349,440.02,345891,456611,684834,4317,251,36
Arunachal Pradesh,2020,Zaid,RWBCIS,Pulses,422,300,696.46,454355,1259261,379582,54820,213,40
Arunachal Pradesh,2020,Zaid,RWBCIS,Oilseeds,458,426,308.92,192214,732912,229014,8310,89,19
Arunachal Pradesh,2021,Kharif,PMFBY,Rice,423,301,331.05,213830,261972,912783,116690,201,66
Arunachal Pradesh,2021,Kharif,PMFBY,Wheat,466,293,286.85,194125,228795,561370,83821,234,44
Arunachal Pradesh,2021,Kharif,PMFBY,Maize,395,326,237.94,60987,970613,517044,64317,266,38
Arunachal Pradesh,2021,Kharif,PMFBY,Cotton,437,314,429.93,285614,887537,1174271,78097,196,81
Arunachal Pradesh,2021,Kharif,PMFBY,Pulses,441,304,463.52,121690,506201,796869,77961,263,57
Arunachal Pradesh,2021,Kharif,PMFBY,Oilseeds,451,379,243.27,85786,447639,408994,2801,113,45
Arunachal Pradesh,2021,Kharif,RWBCIS,Rice,435,361,383.15,124216,640788,196849,226,128,35
Arunachal Pradesh,2021,Kharif,RWBCIS,Wheat,405,366,601.74,305444,598932,1702554,101391,96,119
Arunachal Pradesh,2021,Kharif,RWBCIS,Maize,406,321,721.75,358080,1060338,2152289,42450,126,197
Arunachal Pradesh,2021,Kharif,RWBCIS,Cotton,431,407,784.72,443165,752537,2008472,287732,315,400
Arunachal Pradesh,2021,Kharif,RWBCIS,Pulses,444,309,191.29,107558,794147,150396,8659,160,14
Arunachal Pradesh,2021,Kharif,RWBCIS,Oilseeds,407,360,231.13,57345,412116,659718,66160,243,63
Arunachal Pradesh,2021,Rabi,PMFBY,Rice,441,371,863.16,489881,1363579,1993841,36056,309,333
Arunachal Pradesh,2021,Rabi,PMFBY,Wheat,438,264,354.83,133780,619780,689435,4523,76,52
Arunachal Pradesh,2021,Rabi,PMFBY,Maize,426,361,791.03,486876,916807,1726357,71311,150,103
Arunachal Pradesh,2021,Rabi,PMFBY,Cotton,433,395,874.97,656211,1087196,1134982,99118,182,81
Arunachal Pradesh,2021,Rabi,PMFBY,Pulses,449,333,277.63,127243,269837,756609,39254,103,141
Arunachal Pradesh,2021,Rabi,PMFBY,Oilseeds,445,324,208.47,92931,404148,457133,41538,147,55
Arunachal Pradesh,2021,Rabi,RWBCIS,Rice,447,350,194.28,97776,1061793,283749,1660,78,26
Arunachal Pradesh,2021,Rabi,RWBCIS,Wheat,412,365,517.22,193206,1093289,408783,58615,153,22
Arunachal Pradesh,2021,Rabi,RWBCIS,Maize,442,430,463.03,359627,749108,677774,34606,249,93
Arunachal Pradesh,2021,Rabi,RWBCIS,Cotton,439,390,845.25,392420,694753,970632,28336,94,96
Arunachal Pradesh,2021,Rabi,RWBCIS,Pulses,439,360,280.22,130702,756936,482607,29085,322,27
Arunachal Pradesh,2021,Rabi,RWBCIS,Oilseeds,443,370,333.97,145972,185431,564030,45942,133,29
Arunachal Pradesh,2021,Zaid,PMFBY,Rice,469,376,842.22,234467,1024976,683926,81477,148,38
Arunachal Pradesh,2021,Zaid,PMFBY,Wheat,480,372,915.85,448807,1312354,1805899,101671,149,224
Arunachal Pradesh,2021,Zaid,PMFBY,Maize,453,359,532.99,291208,1156785,1573306,96188,280,96
Arunachal Pradesh,2021,Zaid,PMFBY,Cotton,440,297,213.4,152021,591170,558558,74826,72,31
Arunachal Pradesh,2021,Zaid,PMFBY,Pulses,433,362,851.7,180109,656952,1890182,204907,248,269
Arunachal Pradesh,2021,Zaid,PMFBY,Oilseeds,423,383,405.03,132211,1089659,211490,31654,258,12
Arunachal Pradesh,2021,Zaid,RWBCIS,Rice,423,372,806.6,519681,662531,1922587,221748,246,117
Arunachal Pradesh,2021,Zaid,RWBCIS,Wheat,460,291,429.3,105861,513404,651577,6452,129,98
Arunachal Pradesh,2021,Zaid,RWBCIS,Maize,398,317,348.42,85752,586376,866273,91879,75,142
Arunachal Pradesh,2021,Zaid,RWBCIS,Cotton,430,295,313.29,213692,1142920,473932,64415,125,39
Arunachal Pradesh,2021,Zaid,RWBCIS,Pulses,418,406,693.04,287396,935213,559492,74580,224,48
Arunachal Pradesh,2021,Zaid,RWBCIS,Oilseeds,441,276,514.8,177688,891640,1316002,158702,162,103
Arunachal Pradesh,2022,Kharif,PMFBY,Rice,410,288,430.1,159380,293208,891982,7269,209,91
